Title,Presenter Name,Event,Presentation Date (YYYY-MM-DD,Publish On: path|osg|chtc|htcondor|pelican,Description,Image URL,Alt Image,Keywords,Youtube video ID,Public slides link
Placement Tokens: Capability-Based Authorization for Job Placement,Mátyás Selmeci,HTC25,2025-06-02,path|osg|htcondor,"Mátyás Selmeci discusses placement tokens, experimental work in the area of authorization to make it easier to grant, audit, and revoke access to the job placement services that an Access Point provides. ",,Placement Tokens: Capability-Based Authorization for Job Placement presented by Mátyás Selmeci,HTC25|AdminToolsandServices,https://youtu.be/AauHNkIqXJ8,https://agenda.hep.wisc.edu/event/2297/contributions/33941/
Can I have my data... please? Authorization in Pelican,Justin Hiemstra,HTC25,2025-06-02,path|osg|htcondor|pelican,"Justin Hiemstra discusses access to data via tokens that you bring to the Origin to get your data. Hiemstra's talk explores the problems this complex system is trying to solve, why we don't use something simple like passwords and what Pelican is going to make it easier for users.  ",,Can I have my data... please? Authorization in Pelican presented by Justin Hiemstra,HTC25|Pelican|,https://youtu.be/nWKQzWQdfJo,https://agenda.hep.wisc.edu/event/2297/contributions/34080/
Fermilab’s Transition to Token Authentication,Dave Dykstra,HTC25,2025-06-02,path|osg|htcondor,"Fermilab is the first High Energy Physics institution to transition from X.509 user certificates to authentication tokens in production systems. All the experiments that Fermilab hosts are now using JSON Web Token (JWT) access tokens in their grid jobs. The tokens are defined using the WLCG Common JWT Profile. Many software components have been either created or updated for this transition, and the changes to those components are described. Most of the software is available to others as open source. There have been some glitches and learning curve issues but in general the system has been performing well and is being improved as operational problems are addressed.",,Fermilab’s Transition to Token Authentication presented by Dave Dykstra,HTC25|AdminToolsandServices|Collaborations,https://youtu.be/YmU3TtOPock,https://agenda.hep.wisc.edu/event/2297/contributions/33914/
CHTC Fellow Lightning Talks,"Sandy Nayar, William Jiang, and Kashika Mahajan",HTC25,2025-06-02,path|osg|chtc|pelican,CHTC Fellows discuss the work and goals of their Fellows Projects  - for CHTC and Pelican,,"CHTC Fellow Lightning Talks Presented by Sandy Nayar, William Jiang, and Kashika Mahajan",Fellows|HTC25,https://youtu.be/ZWtOmhZQogY,https://agenda.hep.wisc.edu/event/2297/sessions/3540/#20250602
National Science Foundation Campus Cyberinfrastructure (CC*),Kevin Thompson,HTC25,2025-06-03,path|osg|chtc,"Kevin Thompson from the Office of Advanced Cyberinfrastructure of the National Science Foundation discussed the Camus Cyberinfrastructure (CC*) vision. Thompson discusses the CC* Program that is Coordinated in networking, compute and storage. Thompson also discusses the contributors to the OSPool, the servcies of the OSDF, ",,National Science Foundation Campus Cyberinfrastructure (CC*) presented by Kevin Thompson,HTC25|Campuses|Facilitation|OSDF,,
University of Montana and Contributing to the OSPool,Michael Couso,HTC25,2025-06-03,path|osg|chtc,"Michael Couso, a research computing support supervisor, discussed how the University of Montana became a contributor to the OSPool. Couso discussed connecting to the OSPool and opening the door to a broad community and the process of scaling up and growing outward. ",,University of Montana and Contributing to the OSPool presented by Michael Couso,HTC25|Campuses|Facilitation,,https://agenda.hep.wisc.edu/event/2297/contributions/34340/
"Experiences of a Small, Primarily Undergraduate Institution in Servicing OSPool Compute Jobs",Stephen Wheat,HTC25,2025-06-03,path|osg|chtc,"Wheat, Senior Professor of Computer Science at Oral Roberts University, discusses the campus CC* awards, contributing to the OSPool and its impact on the ORU faculty and students. ",,"Experiences of a Small, Primarily Undergraduate Institution in Servicing OSPool Compute Jobs Presented by Stephen Wheat",HTC25|Campuses|Facilitation,,
Scaling Up Research: Integrating CENVAL-ARC resources with OSG and Expanding User Access,Sarvani Chadalapaka,HTC25,2025-06-03,path|osg|chtc,"Sarvani Chadalapaka discusses UC Merced's Cyberinfrastructre and Research Technologies Mission and both its contribution and use of OSG resources, noting that they chose OSG because of its alignment with CC* requirements, pre-proposal and deployment support and training and onboarding support.   ",,Scaling Up Research: Integrating CENVAL-ARC resources with OSG and Expanding User Access presented by Sarvani Chadalapaka,HTC25|Campuses|Facilitation,,
Supporting Research Computing @ Syracuse University,Peter Pizzamenti,HTC25,2025-06-03,path|osg|chtc,"Peter Pizzamenti, Associate Director of Research Computing at Syracuse University, discusses why Syracuse invests in research computing, What it takes to support research computing and where they are going. ",,Supporting Research Computing @ Syracuse University presented by Peter Pizzamenti,HTC25|Campuses|Facilitation,,https://agenda.hep.wisc.edu/event/2297/contributions/34093/
Supporting MicrobiologyResearch at Scale: Experiences and Perspectives,Patricia Tran,HTC25,2025-06-03,path|osg|chtc|htcondor,"Patricia Tran, bioinformatics and computational pipeline scientist, bioinformatics research support service, discusses working with big data in biology and the requirements to be scalable, fexible and use high throughput computing. ",,Supporting Microbiology Research at Scale: Experiences and Perspectives presented by ,HTC25|Facilitation|Biology|ResearcherTalk|Biology,,https://agenda.hep.wisc.edu/event/2297/contributions/33926/
Integrating NSF NCAR’s data infrastructure with OSDF,Harsha Hampapura,HTC25,2025-06-03,path|osg|chtc|htcondor|pelican,"NSF NCAR’s labs and programs collectively cover a breadth of research topics in Earth system science, from the effects of the Sun on Earth's atmosphere to the role of the ocean in weather and climate prediction, as well as supporting and training the next-generation of Earth system scientists. However, with the current legacy `download and analyze’ model followed by most of our remote users, we are not realizing the full research potential of NCAR’s wealth of datasets. Our goal is to integrate NCAR’s curated data collections with the OSDF data and compute fabric to broaden access capabilities. In this talk, we present progress on this collaboration and demonstrate geoscience workflows which ingest data from NCAR’s Research Data Archive using pelicanFS via OSDF caches.",,Integrating NSF NCAR’s data infrastructure with OSDF presented by Harsha Hampapura ,HTC25|Pelican|OSDF,,https://agenda.hep.wisc.edu/event/2297/contributions/33818/
Building Communities Around OSDF and OSPool Contributors,"Christina Koch, Tim Cartwright",HTC25,2025-06-04,path|osg|chtc||htcondor,"Christina Koch, OSG Rsearcher Facilitation Lead, and Tim Cartwright, OSG Campus Coordinator, discuss how buildling the community of contributors is an inseparable aspect of providing the OSDF, OSPool and OSStore.  ",,Building Communities Around OSDF and OSPool Contributors presented by Christina Koch and Tim Cartwright,HTC25|Campuses|Facilitation|OSDF|OSPool|Mission,,https://agenda.hep.wisc.edu/event/2297/contributions/34339/
Integration of MINCER with Open Science Grid,Irvin Lopez-Audetat,HTC25,2025-06-04,path|osg|chtc||htcondor,"Irvin Lopez-Audetat discusses the Monitoring Infrastructure for Network and Computing Environment Research (MINCER) project that aims to provide a foundation for in-depth insight and analysis of distributed heterogeneous computing environments, supporting and enhancing research and education in computer and network systems. Our approach is to work in conjunction with the Open Science Grid (OSG).  ",,,HTC25|OSPool|AdminToolsandServices,,https://agenda.hep.wisc.edu/event/2297/contributions/34351/
Monitoring and diagnostics to support scaling up radio astronomy imaging workflows,Felipe Madsen,HTC25,2025-06-04,path|osg|htcondor,"The Algorithms Research and Development Group (ARDG) at the National Radio Astronomy Observatory (NRAO) has been using HTCondor and compute resources at the Open Science Grid (OSG) to significantly improve throughput in radio astronomy imaging by up to 2 orders of magnitude in single imaging workflows, and we are currently putting efforts towards extending these imaging capabilities to multiple imaging workflows. Besides developing and maintaining software to efficiently process data and manage the imaging workflows, we found that monitoring and diagnosing workflow executions is critical to achieve and maintain high throughput. We will present and discuss some of the tools and methodology that we use to assess workflow health and efficiency, which enable us to visualize and solve problems, eventually also contributing to optimizing and advancing capabilities of HTCondor and the OSG.",,Monitoring and diagnostics to support scaling up radio astronomy imaging workflows presented by Felipe Madsen,HTC25|Collaborations|AdminToolsandServices|Workflow,,https://agenda.hep.wisc.edu/event/2297/contributions/34357/
"Managing, Maintaining, and Monitoring a large HTC system",Tom Smith,HTC25,2025-06-04,path|osg|htcondor,"Tom Smith from the BNL Scientific Computing and Data Facility (SCDF) discusses its integration with HTCondor, upgrade strategies, monitoring, and wishlist. ",,"Managing, Maintaining, and Monitoring a large HTC system presented by Tom Smith",HTC25|Collaborations|AdminToolsandServices,,https://agenda.hep.wisc.edu/event/2297/contributions/34358/
A Tape Robot for the MIT Tier-2 Center,Maxim Goncharov,HTC25,2025-06-04,path|osg|htcondor,"Since its establishment in 2006, the MIT Tier-2 computing center has been a long-standing contributor to CMS computing efforts. Recently, an opportunity arose to take part in the usage of a shared tape storage system operated by Harvard University. In the context of a pilot project to explore this system we acquired tape cartridges with a total capacity of 15 PB and successfully integrated them for use by CMS. A key challenge was the lack of direct access to the tape libraries. To address this, we developed a novel setup that is currently unique within the CMS infrastructure. In this talk, we present our technical approach and share insights that may benefit other sites considering participation in shared tape storage systems.",,A Tape Robot for the MIT Tier-2 Center presented by Maxim Goncharov ,HTC25|Collaborations|AdminToolsandServices,,https://agenda.hep.wisc.edu/event/2297/contributions/34359/
"Duct Tape, DAGs, and Determination: Snakemake at the Edge of HTCondor",Justin Hiemstra,HTC25,2025-06-04,path|osg|htcondor,Justin Hiemstra presents about Snakemake and research computing workflows,,"Duct Tape, DAGs, and Determination: Snakemake at the Edge of HTCondor Presented by Justin Hiemstra",ResearchComputing|HTC25|Workflow,,https://agenda.hep.wisc.edu/event/2297/contributions/34365/
Wrangling Complex Notebook Workflows with Floability,Douglas Thain,HTC25,2025-06-04,path|osg|htcondor,"Computational notebooks have become a critical tool of scientific discovery, by wrapping together code, results, and visualization into a common package. However, moving complex notebooks between different facilities is not so easy: complex workflows require precise software stacks, access to large data, and large backend computational resources. The Floability project aims to connect these two worlds, making it possible to specify, share, and execute computational workflows through the familiar notebook interface. This talk will introduce the Floability concept of a workflow ""backpack"" and demonstrate applications in high energy physics, machine learning, and geosciences.",,Wrangling Complex Notebook Workflows with Floability presented by Douglas Thain,ResearchComputing|HTC25|Workflow,,
"EWMS in Action: A User’s Guide to Adaptive, Extreme-Scale Workflows",Ric Evans,HTC25,2025-06-04,path|osg|htcondor,"The Event Workflow Management System (EWMS) enables previously impractical scientific workflows by transforming how HTCondor is used for massively parallel, short-runtime tasks. This talk explores what’s now possible from a user’s perspective. Integrated into IceCube’s Realtime Alert pipeline and powered by OSG’s national-scale compute resources, EWMS’s debut application delivers directional reconstructions of high-energy neutrinos within minutes. This talk will showcase how EWMS is accelerating discovery today and explore how its capabilities could unlock new research across domains—from astrophysics to protein modeling, large-scale text mining, and beyond.

",,,ResearchComputing|HTC25|Collaboratons|Workflow,,https://agenda.hep.wisc.edu/event/2297/contributions/33888/
Monitoring in the OSDF,Patrick Brophy,HTC25,2025-06-04,path|osg|htcondor|pelican,"Patrick Brophy discussed Monitoring that is used to diagnose the OSDF, the OSDF dashboard, and the reports generated to inform stakeholders about the impact of teh OSDF> ",,Monitoring in the OSDF presented by Patrick Brophy,HTC25|Pelican|OSDF|AdminToolsandServices,,https://agenda.hep.wisc.edu/event/2297/contributions/34368/
"The EP’s Disk-iplinary Resource Management: Managing Storage at the Execution Point
",Cole Bollig,HTC25,2025-06-04,path|osg|htcondor|,"Cole Bollig discusses how the EP enforces disk usage, how to enable disk enforcement and the benefits gained. ",,Disk Usage of Jobs at the EP presented by Cole Bollig,HTC25|AdminToolsandServices,,https://agenda.hep.wisc.edu/event/2297/contributions/34369/
Hollistic cost analysis of running a computing center,Zhangqier Wang,HTC25,2025-06-04,path|osg|htcondor|,"The MIT Tier-2 computing center, established in 2006, has been a long-standing contributor to CMS computing. As hardware ages and computing demands evolve, we are undertaking a major redesign of the center’s infrastructure. In this talk, we present a holistic cost analysis that includes not only hardware purchases but also power consumption, cooling, and rack space—factors often excluded from conventional cost models. We evaluate the cost-effectiveness of maintaining aging hardware versus timely replacement, and propose optimal hardware retirement and procurement policies.",,Hollistic cost analysis of running a computing center presented by Zhangqier Wang,HTC25|AdminToolsandServices,,https://agenda.hep.wisc.edu/event/2297/contributions/34352/
Data Everywhere: Using and Sharing Scientific Data with Pelican,Andrew Owen,HTC25,2025-06-04,path|osg|htcondor|pelican,"While there are perhaps hundreds of petabytes of datasets available to researchers, instead of swimming in seas of data there is often a feel of sitting in a data desert: there’s a mismatch between what sits in carefully curated repositories around the world versus what’s accessible at the computational resources locally available. The Pelican Project (https://pelicanplatform.org/) aims to bridge the gap between repositories and compute by providing a software platform to connect the two sides. Pelican’s flagship instance, the Open Science Data Federation (OSDF), serves billions of objects and more than a hundred petabytes a year to national-scale resources. This tutorial, targeted at end-user data consumers and data providers, will cover the data access model of Pelican, guide participants to access and share data through an existing data federation, and consider how data movement via Pelican and the OSDF can enable their research computing.",,Data Everywhere: Using and Sharing Scientific Data with Pelican presented by Andrew Owen,ResearchComputing|HTC25|AdminToolsandServices|Pelican|OSDF,,https://agenda.hep.wisc.edu/event/2297/contributions/33938/
Unbreaking the bird: Debugging Pelican client failures,Brian Bockelman,HTC25,2025-06-04,path|osg|htcondor|pelican,Brian Bockelman presents on the Pelican work to debugging Pelican client failures and approaches to learn what happened. ,,,HTC25|AdminToolsandServices|Pelican|OSDF,,https://agenda.hep.wisc.edu/event/2297/contributions/33939/
IceCube and PATh Services,Benedikt Riedel,HTC25,2025-06-04,path|osg|htcondor,"Benedikt Riedel discusses IceCube Computing, an global heterogeneous resources pool - powered by PATh services and products using mostly shared and opportunistic resources. Riedel also discussed the Event Workflow Management  Serivce and current and future integrations. ",,IceCube and PATh Services presented by Benedikt Riedel,HTC25|Collaborations|AdminToolsandServices|OSDF|Pelican|Workflow,,
Computing Requirements and Challenges for Muon Collider Full Simulation,Mark Larson,HTC25,2025-06-04,path|osg|htcondor,Mark Larson discusses the computing requirements and resouces needed for the Muon Collider and the solutions to these computing challenges. Larson also discusses the experience running HTCondor jobs and how the OSG/PATh provided resources have proven exremely useful. ,,Computing Requirements and Challenges for Muon Collider Full Simulation presented by Mark Larson,HTC25|Collaborations|AdminToolsandServices|,,
Status of REDTOP and preliminary results from the 2025 Montecarlo campaign,Corrado Gatto ,HTC25,2025-06-04,path|osg|htcondor,"Corrado Gatto discussed REDTOP's main physics goals, cost estimates for its work, the Collaboration, the storage & CPU expected data rates, the Montecarlo Campaign 2025 and the OSG Usage Statistics from that work. ",,,HTC25|Collaborations|,,https://agenda.hep.wisc.edu/event/2297/contributions/34362/
Data processing in XENONnT dark matter project,Dacheng Xu,HTC25,2025-06-04,path|osg|htcondor,"Dacheng Xu discussed the SENON Collaboration, the goals of data reprocessing, the data flow, their use of the Pegasus workflow management software, and use of HTCondor",,,HTC25|Collaborations|Workflow,,https://agenda.hep.wisc.edu/event/2297/contributions/34438/
Collaboration Services & Usage,Pascal Paschos,HTC25,2025-06-04,path|osg|htcondor,"Pascal Paschos discusses PATh Collaboration Services that coordinates effort at the intersction of multple services for collaborations at global scale of intrastructure and communities, nothing the 20 - 25% grown in cpu hours and 70% growth in gpu hours over the past year. ",,Collaboration Services & Usage presented by Pascal Paschos,HTC25|Collaborations|Mission,,
GPU Access and AI workflows in CHTC and the OSPool,Amber Lim,HTC25,2025-06-05,path|osg|htcondor|CHTC,"Amber Lim discusses how to run GPU jobs in CHTC and the OSPool, th researcher-to-AI-workflow-proficiency pipeline, and what you should consider during development. ",,GPU Access and AI workflows in CHTC and the OSPool presented by Amber Lim,HTC25|AI|OSPool|Workflow,,https://agenda.hep.wisc.edu/event/2297/contributions/33945/
ARA Distributed Inference Experiments: Flying HTCondor Over a Field of Wireless Dreams,Martin Kandes,HTC25,2025-06-05,path|osg|htcondor|CHTC,"We present the initial design and proposed implementation for a series of long-baseline, distributed inference experiments leveraging ARA --- a platform for advanced wireless research that spans approximately 500 square kilometers near Iowa State University, including campus, the City of Ames, local research and producer farms, and neighboring rural communities in central Iowa. These experiments aim to demonstrate, characterize, and evaluate the use of distributed inference for computer vision tasks in rural and remote regions where high-capacity, low-latency wireless broadband access and backhaul networks enable edge computing devices and sensors in the field to offload compute-intensive workloads to cloud and high-performance computing systems embedded throughout the edge-to-cloud continuum. We highlight the role of HTCondor as the common scheduler and workload manager used to distribute the inference workload across ARA and beyond. We also discuss some of the unique challenges in deploying HTCondor on ARA.",ARA Distributed Inference Experiments: Flying HTCondor Over a Field of Wireless Dreams presented by Martin Kandes,,HTC25|AI|Workflow,,https://agenda.hep.wisc.edu/event/2297/contributions/33889/
Pegasus WMS Deployments in ACCESS and NAIRR Pilot,Mats Rynge,HTC25,2025-06-05,path|osg|htcondor|CHTC,"Pegasus is a widely used scientific workflow management system built on top of HTCondor DAGMan. This talk will highlight how Pegasus is deployed within the NSF ACCESS ecosystem and the NAIRR Pilot. We will cover access point deployments, including the hosted ACCESS Pegasus platform (Open OnDemand and Jupyter), workflow execution nodes in HPC environments, and a JupyterLab-based access point within the Purdue Anvil Composable Subsystem. On the execution side, we will discuss several provisioning strategies, including HTCondor Annex, custom virtual machines on the Jetstream2 cloud, simple glidein configurations for campus clusters, and a dynamically autoscaled TestPool environment designed for workflow development and testing.",,Pegasus WMS Deployments in ACCESS and NAIRR Pilot presented by Mats Rynge,HTC25|AI|Workflow,,https://agenda.hep.wisc.edu/event/2297/contributions/34094/
Experiments and expansions: Leveraging PATh tools and NAIRR resources in ML workflows,Ian Ross,HTC25,2025-06-05,path|osg|htcondor|CHTC,"Ian Ross discussed the ML PATh supplement to profile the effects of training on inference on distributed, hetergeneous capacity, Ross talks about the HTCondor's Annex integration with NAIRR sites and use of some new DAG features that could simplify some things.  ",,Experiments and expansions: Leveraging PATh tools and NAIRR resources in ML workflows presented by Ian Ross,HTC25|AI|Workflow,,https://agenda.hep.wisc.edu/event/2297/contributions/33948/
Contouring the Audio Fovea with Pinna Cues for Spatial Speech Perception,Bujji Selagamsetty,HTC25,2025-06-05,path|osg|htcondor|CHTC,"Bujji Selagamsetty discusses his CHTC GPU workflow. He also noted improvements to CHTC Flow, including HTChirp to poll job ad information and self-scheduling job length and device specific tuning. In his current work he asks what are the regions od 3D audio space where a. speech is more perceptible and b. noise is more distracting. Can we map this space at a fine enough granularity to create more personalized, spatial audio experiences? Selagamsetty summarizes his CHTC experience working on this project. ",,Contouring the Audio Fovea with Pinna Cues for Spatial Speech Perception presented by Bujji Selagamsetty,HTC25|AI|HTC25|ResearchComputing|Biology|,,https://agenda.hep.wisc.edu/event/2297/contributions/33948/
Mapping the Zymomonas mobilis Interactome ,Sameer DCosta,HTC25,2025-06-05,path|osg|htcondor|CHTC,"Sameer D'Costa, a scientist with the Computational Biology Group at the Great Lakes Bioenergy Research Center, is investigating  Zymomonas mobilis (bacteria) that is really good at turning sugar into alcohol and could be engineered for industrial use. D'Costa share his deep learning computational plan and workflow to compute complees in Z. Mobilis. ",,Mapping the Zymomonas mobilis Interactome presented by Sameer DCosta,HTC25|AI|HTC25|ResearchComputing|Biology|,,https://agenda.hep.wisc.edu/event/2297/contributions/33947/
Large Scale Dataset Curation and Model Evaluation,John Peters,HTC25,2025-06-05,path|osg|htcondor|CHTC,"John Peter's talk focuses on Feature Extraction in AI workflows and how to leverage CHTC using small zips, Snakemake and caching.  ",,Large Scale Dataset Curation and Model Evaluation presented by John Peteres,HTC25|AI|HTC25|ResearchComputing|Biology|,,https://agenda.hep.wisc.edu/event/2297/contributions/33949/
"Utilizing HTCondor, Pelican, and DAGman workflows for high-throughput phenotyping in dairy cattle",Ariana Negreiro,HTC25,2025-06-05,path|osg|htcondor|CHTC|Pelican,"Ariana Negreiro disusses the Digital Livestock Lab at the UW-Madison Dept of Animal and Dairy Sciences which focuses on research applications of ML and computer vision for farm management and genetic selection. Negreiro disucssed the data processing pipeline and the CHTC Resources (HTCondor, Pelican and DAGMAN) that they rely upon for their work. ",,"Utilizing HTCondor, Pelican, and DAGman workflows for high-throughput phenotyping in dairy cattle presented by Ariana Negreiro",HTC25|AI|HTC25|ResearchComputing|Biology|,,https://agenda.hep.wisc.edu/event/2297/contributions/33950/
Tracking HTCondor Uptime,Michael Pelletier,HTC25,2025-06-05,path|osg|htcondor|,"Michael Pelletier discusses the usefulness of uptime metrics, how built-in daemon attributes are linked to service uptime, how to create custom attribute such as an UptimeExecMonthly attribute. While the DaemonStartTime and MonitorSelfAge attributes of HTCondor daemons provide a slice of insight as to the uptime and availability of the service, they're not well-suited for tracking longer-term up/down-time stats over the course of days, weeks, or months. Longer-time-period uptime statistics are essential for contractual Service Level Agreement (SLA) management, and are an important aspect of monitoring the overall health of large HTCondor pools.",,Tracking HTCondor Uptime presented by Michael Pelletier,HTC25|AdminToolsandServices,,https://agenda.hep.wisc.edu/event/2297/contributions/34372/
Rolling HTCondor Upgrades Without Rolling Over,Tim Theisen,HTC25,2025-06-05,path|osg|htcondor|,Tim Theisen discusses how to upgrade your HTCondor Pool without users noticing. ,,Rolling HTCondor Upgrades Without Rolling Over presented by Tim Theisen,HTC25|AdminToolsandServices,,https://agenda.hep.wisc.edu/event/2297/contributions/34373/
Tighter HTCondor and Kubernetes interplay for better glideins ,Igor Sfiligoi and Jamie Frey,HTC25,2025-06-05,path|osg|htcondor|,"HTCondor is the leading system for building a dynamic overlay batch scheduling system on resources managed by any scheduling system, by means of glideins. One fundamental property of these setups is the use of late binding of containerized user workloads. From a resource provider point of view, a compute resource is thus claimed before the user container image is selected. Kubernetes allows for both multi-container requests and dynamic updates to the container image being used. In this talk we show how HTCondor can exploit these features to both increase the effectiveness and the security of gildeins running on top of Kubernetes-managed resources.",,Tighter HTCondor and Kubernetes interplay for better glideins presented by Igor Sfiligoi and Jamie Frey,HTC25|AdminToolsandServices,,https://agenda.hep.wisc.edu/event/2297/contributions/33819/
Functional Throughput Computing,Greg Thain,HTC25,2025-06-05,path|osg|htcondor|,Greg Thain discusses what is a functional language and the development of a new functional programming language and how thinking in a functional way helps us solve real problems. ,,,HTC25|AdminToolsandServices|ResearchComputing|,,https://agenda.hep.wisc.edu/event/2297/sessions/3480/#20250605
"What's New, What's Upcoming ",Todd Tannenbaum,HTC25,2025-06-05,path|osg|htcondor|pelican,"Todd Tannenbaum discusses what's new in the HTCondor Software Suites (HTCSSS) and what's coming up. Topics include Release numbering Scheme, using container images, new authenticated docker support, Pelican local cache on the EP, sharing input common files, and more. ",,"What's New, What's Upcoming presented by Todd Tannenbaum",HTC25|AdminToolsandServices|ResearchComputing|,,https://agenda.hep.wisc.edu/event/2297/contributions/34375/
From backend to interactive based on HTCondor,Jingyan Shi,HTC25,2025-06-05,path|osg|htcondor|,"New requirements from HEP data analysis includes limited access to login nodes, resource needed from the experiments program rather than the login nodes and efficient data access for collaborative workflows etc. We have developed an Interactive aNalysis worKbench (INK), a web-based platform leveraging the HTCondor cluster. INK transforms traditional batch-processing resources into a user-friendly, web-accessible interface, enabling researchers to leveage the cluster computing and storage resources directly via their browsers.
",,From backend to interactive based on HTCondor presented by Jingyan Shi,HTC25|AdminToolsandServices|,,https://agenda.hep.wisc.edu/event/2297/contributions/33887/
